date,season,volume,avg_flag,clarity,samples,traffic
2000-01-01,Winter,194189.0,0,Medium,,362.0
2000-02-01,Winter,272846.0,0,Very high,6.0,78.0
2000-03-01,Spring,492060.0,1,Very high,6.0,716.0
2000-04-01,Spring,436327.0,1,,8.0,
2000-05-01,Spring,451516.0,1,Medium,7.0,680.0
2000-06-01,Summer,231558.0,0,Medium,3.0,517.0
2000-07-01,Summer,132022.0,0,Very low,1.0,869.0
2000-08-01,Summer,126351.0,0,Low,2.0,
2000-09-01,Fall,446436.0,1,Very low,6.0,999.0
2000-10-01,Fall,311182.0,1,Very low,7.0,140.0
2000-11-01,Fall,337124.0,1,Very low,6.0,351.0
2000-12-01,Winter,216640.0,0,Low,5.0,17.0
2001-01-01,Winter,286940.0,0,Very high,3.0,872.0
2001-02-01,Winter,120260.0,0,Medium,3.0,164.0
2001-03-01,Spring,414824.0,1,Very high,2.0,360.0
2001-04-01,Spring,337346.0,1,Very high,9.0,338.0
2001-05-01,Spring,305570.0,1,Low,,54.0
2001-06-01,Summer,133554.0,0,,,967.0
2001-07-01,Summer,191358.0,0,Very high,2.0,0.0
2001-08-01,Summer,142711.0,0,Medium,2.0,47.0
2001-09-01,Fall,418927.0,1,Very high,6.0,426.0
2001-10-01,Fall,326697.0,1,High,2.0,974.0
2001-11-01,Fall,317047.0,1,Very low,4.0,231.0
2001-12-01,Winter,110212.0,0,Very high,,797.0
2002-01-01,Winter,166703.0,0,Very low,8.0,985.0
2002-02-01,Winter,252322.0,0,,8.0,414.0
2002-03-01,Spring,478950.0,1,Very high,7.0,677.0
2002-04-01,Spring,325863.0,1,Very low,10.0,116.0
2002-05-01,Spring,488863.0,1,Very high,,357.0
2002-06-01,Summer,169713.0,0,Very low,2.0,863.0
2002-07-01,Summer,165711.0,0,Very low,6.0,
2002-08-01,Summer,231008.0,0,Very high,2.0,881.0
2002-09-01,Fall,315662.0,1,Very high,7.0,629.0
2002-10-01,Fall,436292.0,1,Medium,4.0,427.0
2002-11-01,Fall,406779.0,1,Very high,10.0,809.0
2002-12-01,Winter,175019.0,0,Low,5.0,63.0
2003-01-01,Winter,242693.0,0,Very low,3.0,
2003-02-01,Winter,136901.0,0,Low,9.0,951.0
2003-03-01,Spring,466395.0,1,High,5.0,179.0
2003-04-01,Spring,454597.0,1,Very low,4.0,889.0
2003-05-01,Spring,396702.0,1,Medium,3.0,832.0
2003-06-01,Summer,192335.0,0,Very low,1.0,745.0
2003-07-01,Summer,142696.0,0,Very high,2.0,959.0
2003-08-01,Summer,127987.0,0,Low,1.0,920.0
2003-09-01,Fall,378456.0,1,Very high,1.0,207.0
2003-10-01,Fall,378698.0,1,Medium,3.0,
2003-11-01,Fall,343855.0,1,Very low,5.0,268.0
2003-12-01,Winter,199584.0,0,Very high,10.0,561.0
2004-01-01,Winter,258546.0,0,Very high,9.0,879.0
2004-02-01,Winter,207252.0,0,Very high,3.0,87.0
2004-03-01,Spring,444214.0,1,Very low,3.0,827.0
2004-04-01,Spring,485192.0,1,Very high,5.0,128.0
2004-05-01,Spring,342478.0,1,Low,,45.0
2004-06-01,Summer,211548.0,0,Medium,9.0,663.0
2004-07-01,Summer,168149.0,0,Medium,4.0,400.0
2004-08-01,Summer,199617.0,0,Medium,9.0,473.0
2004-09-01,Fall,428707.0,1,High,9.0,
2004-10-01,Fall,323034.0,1,Low,10.0,283.0
2004-11-01,Fall,398285.0,1,High,6.0,103.0
2004-12-01,Winter,269074.0,0,Low,6.0,285.0
